,AMF,CF campaign,Shrimp welfare - stunning,Shrimp welfare - NH3,Conservative x-risk work,Risky x-risk work
AMF,1.0,0.01640717501170336,0.7321956137552403,0.036085126501863164,0.24519328065857274,0.10425381981153213
CF campaign,60.94894454936286,1.0,44.626549862054844,2.199350374218802,14.944271666735714,6.354160282752339
Shrimp welfare - stunning,1.36575524520184,0.022408185331178426,1.0,0.04928345079369154,0.3348740091476926,0.1423852012399275
Shrimp welfare - NH3,27.712248700260687,0.45467971439302607,20.290786945625236,1.0,6.794857173243186,2.889107782569343
Conservative x-risk work,4.0784151886791795,0.06691527177104849,2.986197712223646,0.14717012801060833,1.0,0.425190362197175
Risky x-risk work,9.591974680714616,0.15737720729431215,7.023201788470563,0.34612761975625544,2.3518877399583826,1.0
