,AMF,CF campaign,Shrimp welfare - stunning,Shrimp welfare - NH3,Conservative x-risk work,Risky x-risk work
AMF,1.0,0.023796616084390026,0.8941007868044432,0.026088392620301007,0.35032712285003886,0.14838426894125362
CF campaign,42.02278157758634,1.0,37.572602072231206,1.0963068247932246,14.72172016423144,6.23551972326813
Shrimp welfare - stunning,1.1184421429423472,0.026615138288201504,1.0,0.02917835774817077,0.39182061801122436,0.16595921973358926
Shrimp welfare - NH3,38.33122318244465,0.9121534021177063,34.27197680660048,1.0,13.428467132828546,5.687750529551083
Conservative x-risk work,2.854474960044873,0.0679268447466924,2.5521883076897023,0.07446866348246868,1.0,0.42355918015737265
Risky x-risk work,6.739258865748815,0.16037155592154634,6.025576654344834,0.1758164312594995,2.3609451685793985,1.0
