,"Mean, a = 1","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
CF campaign,112164284.89676566,87084641.70308892,62004998.50941235,6099882.562680054,394502016.1409424,60132597.23483276
Shrimp welfare - NH3,42642230.78173228,24481611.26232674,6320991.742921193,25060.271545410156,167982458.09292597,4042475.6877441406
Risky x-risk work,12824847.89490844,543001.7128148526,-11738844.46927867,-69508986.15186158,137678465.7728881,0.0
Conservative x-risk work,5433435.784937247,4081745.6010110844,2730055.417084919,-1256458.461529541,21070106.41948089,2867039.1167144775
AMF,1906468.689485612,1799947.3424657912,1693425.995445972,1347928.5532226562,2845073.7181030274,1889918.1196289062
Shrimp welfare - stunning,1582646.7719828133,1054206.0891243753,525765.4062659369,6060.773023986817,6718235.897485347,330398.39099121094
Nothing,0.0,0.0,0.0,0.0,0.0,0.0
