,AMF,CF campaign,Shrimp welfare - stunning,Shrimp welfare - NH3,Conservative x-risk work,Risky x-risk work
AMF,1.0,0.022564147646839536,1.7763126725216227,0.020809282059271846,0.0024531185311713237,0.0010407875396831435
CF campaign,44.318093271299155,1.0,78.72279069980395,0.9222277032115819,0.10871753587000312,0.04612571925928353
Shrimp welfare - stunning,0.5629639508118902,0.0127028017059676,1.0,0.011714875641646664,0.0013810173001180695,0.0005859258652958094
Shrimp welfare - NH3,48.05547818284471,1.084330904957184,85.36155488027342,1.0,0.11788578405463561,0.05001554290621993
Conservative x-risk work,407.6443870498652,9.198148136798562,724.1038905989849,8.48278702999963,1.0,0.42427119866327234
Risky x-risk work,960.8108877864153,21.679878732703646,1706.7005558717601,19.993784769566904,2.3569829937800266,1.0
