,p = 0.01,p = 0.02,p = 0.03,p = 0.04,p = 0.05,p = 0.07,p = 0.10
Shrimp - Stunning,29.64,15.53,9.96,6.95,5.08,2.89,1.25
Shrimp - Ammonia,1503.44,613.79,333.53,202.1,127.99,49.79,-2.71
Chickens,1130.69,871.95,734.98,643.64,575.88,478.41,380.54
Nearterm conservative X-risk,581.65,67.93,6.72,-5.99,-9.74,-12.28,-14.35
Nearterm risky X-risk,1212.84,-1077.42,-1550.83,-1768.68,-1922.97,-2176.6,-2515.35
Longterm conservative X-risk,42854.09,663.02,-4549.27,-5929.3,-6601.51,-7522.7,-8697.58
Longterm risky X-risk,126605.13,-90827.31,-134344.5,-153783.7,-167336.4,-189459.94,-218952.81
Against Malaria,19.06,18.3,17.81,17.44,17.13,16.65,16.08
Road Safety,18.14,13.33,10.6,8.73,7.34,5.37,3.52
