,Mean DALYs/$1000,0.15th-pct,1st-pct,5th-pct,25th-pct,50th-pct,75th-pct,95th-pct,99th-pct,99.85th-pct
Shrimp - Stunning,29.64,-37.01,-0.14,0.0,0.0,0.0,5.07,109.29,553.67,2078.0
Shrimp - Ammonia,1503.44,-1506.63,-6.34,0.0,0.0,0.0,57.7,2858.28,22932.42,140573.49
Chickens,1130.69,-2170.65,-512.89,0.0,184.13,557.13,1331.56,4213.22,9097.29,18276.99
Nearterm conservative X-risk,581.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nearterm risky X-risk,1212.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Longterm conservative X-risk,42854.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Longterm risky X-risk,126605.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Against Malaria,19.06,-9.55,-6.96,13.48,16.54,18.9,21.94,28.45,33.33,33.33
Road Safety,18.14,0.0,0.0,0.0,0.0,0.0,0.0,94.19,129.15,168.85
