,Proportion of time best action
Nothing,3.1666666666666667e-06
AMF,0.002578
CF campaign,0.2407885
Shrimp welfare - stunning,0.0008981666666666667
Shrimp welfare - NH3,0.0543695
Conservative x-risk work,0.43038766666666667
Risky x-risk work,0.270975
