,c = 0,c = 0.01,c = 0.05,c = 0.10,c = 0.15,c = 0.25
Shrimp - Stunning,29.6401314,16.4893694,10.9720628,5.4273861,2.0659634,-0.462413
Shrimp - Ammonia,1503.4374808000002,804.7072671999999,446.17767310000005,145.42902189999998,7.9033045,-63.894762
Chickens,1130.6863518,889.9006672,688.6579364,381.3814511,111.99632449999999,-140.0132892
Nearterm conservative X-risk,581.6486049,240.80181879999998,98.9637574,16.9167183,-6.6216302,-13.9140138
Nearterm risky X-risk,1212.8352112999999,-921.7748197,-1813.2610281999998,-2324.9852038999998,-2469.6635542,-2513.3731509
Longterm conservative X-risk,42854.0933667,12759.9185288,-687.5402905,-7013.0154309,-8383.5812711,-8692.9328225
Longterm risky X-risk,126605.1335268,-75168.20587789999,-165297.3444863,-207683.3408077,-216864.052248,-218934.70879099998
Against Malaria,19.064686899999998,17.402418700000002,16.23899,13.8412982,10.1979974,1.2852755
Road Safety,18.1392719,9.5918938,6.759178199999999,3.8375094,1.962147,0.4391239
