,No ambiguity aversion,"Cubic, 1.5x weight to worst","Cubic, 2x weight to worst",1st-pct,5th-pct,25th-pct,Median,75th-pct,95th-pct,99th-pct
Shrimp - Stunning,29.64013138348467,16.808075463920208,3.9760195443557573,-0.1379607874474116,0.0,0.0,0.0,5.068173753895799,109.290180457935,553.6749284904338
Shrimp - Ammonia,1503.4374807792794,784.4048032405403,65.37212570180178,-6.343388617689583,0.0,0.0,0.0,57.702035895639305,2858.283744664621,22932.420562445008
Chickens,1130.6863518389432,855.1357834928107,579.5852151466786,-512.8902318632207,0.0,184.13406836398946,557.1318625345968,1331.5563553081547,4213.22175530401,9097.292049970569
Nearterm conservative X-risk,560.6006411634241,423.38415153984903,286.167661916274,-370.5279807583695,-130.2602436311271,0.0,315.4412317737458,823.1028741667856,2136.1735765785074,3888.3902263090677
Nearterm risky X-risk,1290.0471208670474,59.69510128834054,-1170.656918290362,-16264.134293884732,-6959.217298004709,0.0,0.0,1464.048151972322,13798.625932780047,28839.374705489772
Longterm conservative X-risk,54376.06924315735,40838.32689496486,27300.5845467724,-36328.622293896566,-12580.297650644794,0.0,28651.427672096306,79288.82542431084,211029.64257886435,386604.0370528417
Longterm risky X-risk,128563.1768734162,5894.378568220054,-116774.41973697626,-1622698.7564829588,-693075.7399309728,0.0,0.0,143165.440589034,1374730.6508519072,2885824.071490257
Against Malaria,19.064686894857424,17.999473424659676,16.93425995446194,-6.9563523682258195,13.479285528712873,16.538827161653792,18.899181198975786,21.941295805580694,28.450737180605934,33.333333333333336
Road Safety,18.1392719392238,12.993841948627384,7.848411958030983,0.0,0.0,0.0,0.0,0.0,94.18704353546845,129.15283340454485
