,"Mean, a = 1.54","Ambiguity averse, 1.5x weight to worst","Ambiguity averse, 2x weight to worst",fifth percentile,ninety fifth percentile,median
Shrimp welfare - NH3,91628047.88359605,54617763.16978535,17607478.455974683,32760.426141357424,401539563.5068902,6426149.576660156
CF campaign,84465712.53131017,65094732.133492194,45723751.73567413,2625605.365161133,299237255.249572,45687925.23094177
Risky x-risk work,18349475.043238066,796620.8284039795,-16756233.386430142,-99245829.98150024,196710164.37392575,0.0
Conservative x-risk work,7770998.062254212,5836297.600493986,3901597.1387337665,-1794938.1539794921,30166321.788378906,4087136.7510681152
Shrimp welfare - stunning,2672257.4101505615,1823015.2362602,973773.0623698367,14630.569621276856,11251473.940785216,593767.2860717773
AMF,1905843.721199112,1799279.8198077306,1692715.918416349,1346984.0177246095,2843308.194799804,1889982.0432128906
Nothing,0.0,0.0,0.0,0.0,0.0,0.0
