,Proportion of time best action
Nothing,0.0
AMF,0.004338375
CF campaign,0.60983425
Shrimp welfare - stunning,0.008944125
Shrimp welfare - NH3,0.206231125
Conservative x-risk work,0.034206
Risky x-risk work,0.136446125
