,Proportion of time best action
Nothing,5.25e-06
AMF,0.003902625
CF campaign,0.218976875
Shrimp welfare - stunning,0.001550875
Shrimp welfare - NH3,0.08224075
Conservative x-risk work,0.423053375
Risky x-risk work,0.27027025
