,Proportion of time best action
Nothing,3.3333333333333335e-07
AMF,0.0026481666666666667
CF campaign,0.675509
Shrimp welfare - stunning,0.004944
Shrimp welfare - NH3,0.141115
Conservative x-risk work,0.033141333333333335
Risky x-risk work,0.14264216666666665
