,AMF,CF campaign,Shrimp welfare - stunning,Shrimp welfare - NH3,Conservative x-risk work,Risky x-risk work
AMF,1.0,0.01751274157784969,2.229708495011629,0.04460373245264149,0.0035045727629248024,0.0014895115612230591
CF campaign,57.101282260957426,1.0,127.31921413331362,2.5469303166705086,0.20011559853983255,0.08505302008835726
Shrimp welfare - stunning,0.4484891196482545,0.00785427405287719,1.0,0.02000428870071146,0.0015717627531873955,0.000668029728798827
Shrimp welfare - NH3,22.419648424305322,0.3926295091211041,49.98928054684767,1.0,0.0785712892221704,0.03339432552655912
Conservative x-risk work,285.3414860091056,4.997111705917079,636.2283353337447,12.72729529958929,1.0,0.42501944230713057
Risky x-risk work,671.3610192987597,11.757372036420938,1496.939367950111,29.94520728393456,2.3528335423238658,1.0
