,AMF,CF campaign,Shrimp - Stunning,Shrimp - Ammonia,X-Risk - Scenario 1,X-Risk - Scenario 2,X-Risk - Scenario 3,X-Risk - Scenario 4,X-Risk - Scenario 5,X-Risk - Scenario 6,X-Risk - Scenario 7,X-Risk - Scenario 8,X-Risk - Scenario 9,X-Risk - Scenario 10,X-Risk - Scenario 11,X-Risk - Scenario 12
AMF,1.0,0.016417443270582394,0.7324338613172222,0.0364627677882362,7.397002230719932,3.693068411961165,1.4634509885088856,0.7101426376840203,0.7331460564703219,0.35511320917772066,0.15659932928041237,0.3229435938019218,0.162768253201015,0.015668170148125618,0.001983722091213907,0.020679532115550056
CF campaign,60.91082414713445,1.0,44.61315012609998,2.2209772366670535,450.557502091343,224.9478406043036,89.14000580901481,43.25537332335357,44.65653051982888,21.630238236548713,9.5385942073584,19.670760451512475,9.91434844746328,0.9543611565998611,0.12083014745471608,1.2596073441352886
Shrimp - Stunning,1.365310989584209,0.02241491571820146,1.0,0.049783017571935984,10.099208435580831,5.042186888136881,1.9980657173290555,0.9695655474023102,1.0009723678692557,0.484839967036858,0.21380678522806323,0.4409184376335827,0.22222928485077093,0.02139192488991115,0.0027083975714153156,0.028233992456820078
Shrimp - Ammonia,27.425235676229303,0.45025225089684695,20.08717126387547,1.0,202.864529475088,101.28327156647285,40.13548826046693,19.475829202223373,20.106703383796695,9.739063453441103,4.294773512254746,8.856804170146171,4.463957704646002,0.42970325892760575,0.05440404586768384,0.567141041943113
X-Risk - Scenario 1,0.13518990109898513,0.002219472532048233,0.09901766127302307,0.0049293979710869126,1.0,0.499265553364816,0.19784379439972827,0.09600411295467513,0.09911394286533379,0.048007719627679274,0.02117064783758636,0.04365871250663264,0.02200462405229979,0.002118178372727174,0.00026817919331908005,0.0027956639014744987
X-Risk - Scenario 2,0.2707775455123401,0.004445474992396386,0.19832664321760315,0.009873298764285016,2.002942108183648,1.0,0.3962696666460439,0.19229068039573805,0.19851948967308528,0.09615668316015341,0.0424035820114288,0.08744587366861856,0.04407398808910194,0.004242588655379174,0.0005371473988375082,0.005599552948592254
X-Risk - Scenario 3,0.6833163582874087,0.011218307548044485,0.5004840388016691,0.024915605698136986,5.054492626539382,2.5235340581675665,1.0,0.4852520810468594,0.5009706934000752,0.24265466487507484,0.10700688339414215,0.22067264044897736,0.11122221002212042,0.010706316966644687,0.0013555097552225696,0.014130662576285175
X-Risk - Scenario 4,1.4081678059231708,0.023118515069204135,1.0313897834749088,0.05134569571424663,10.416220401641686,5.200460042795522,2.060784567564653,1.0,1.0323926737610383,0.5000589886221268,0.22051813392183844,0.4547587719209959,0.22920501398402043,0.022063412780316975,0.0027934135847460114,0.029120251366671866
X-Risk - Scenario 5,1.3639846946929333,0.022393141347063876,0.9990285767115376,0.04973465718929667,10.089397829311473,5.037288790368965,1.9961247497593637,0.9686236888498727,1.0,0.484368982201701,0.2135990883376614,0.44049011919495296,0.2220134061480885,0.021371144275888054,0.002705766570940028,0.028206565299021248
X-Risk - Scenario 6,2.816003387526872,0.04623157586449027,2.062536234608685,0.10267927761027884,20.829983339251157,10.399693158451127,4.121082941120571,1.9997640733454691,2.064541778572394,1.0,0.4409842417380773,0.9094102541263139,0.45835595239588994,0.04412162021346916,0.005586168128770252,0.058233632489859695
X-Risk - Scenario 7,6.385723390994633,0.1048372515132854,4.677120040569905,0.2328411491657455,47.23521016794774,23.582913342803813,9.345193208895408,4.534774452401474,4.681667921818006,2.2676547262973403,1.0,2.0622284609128014,1.0393930417770585,0.1000526006089696,0.012667500559097433,0.1320537719450927
X-Risk - Scenario 8,3.096515983572513,0.05083687549675338,2.267993158478512,0.11290754326156635,22.9049356379458,11.435645366064506,4.531599377092759,2.198968028204913,2.270198482153508,1.0996137281965412,0.48491232613353197,1.0,0.5040144976551209,0.04851673929700469,0.0061426271624097535,0.06403450172860185
X-Risk - Scenario 9,6.143704194976051,0.1008639150922584,4.499856986317125,0.22401645942102433,45.44499363512125,22.689119894899353,8.99100997724389,4.362906302170673,4.5042325026668655,2.18171051291657,0.9620999562305055,1.9840699119815088,1.0,0.0962606026666379,0.012187401733457543,0.12704892820844685
X-Risk - Scenario 10,63.82366227492301,1.0478213547193582,46.74661140342819,2.3271873769253286,472.10377222032105,235.70515108319563,93.40280164649336,45.323903874567925,46.79206630635346,22.664625531922933,9.994742704472502,20.611442864663776,10.388466021380738,1.0,0.1266084087969404,1.319843473746291
X-Risk - Scenario 11,504.1028702705358,8.276080275204277,369.22201177334324,18.3809859000579,3728.8500559034733,1861.6863865750727,737.7298438075821,357.98494195800373,369.58103139421354,179.01358801747014,78.94217137269663,162.79679257103078,82.05194362755299,7.8983695435572505,1.0,10.424611495300507
X-Risk - Scenario 12,48.356993495420824,0.7938981974469932,35.41829946754287,1.7632298247607776,357.69678875653705,178.58568517535016,70.76808993219136,34.34036291130715,35.45273908392878,17.172207146345052,7.572672747400166,15.616581264867357,7.870983361302493,0.7576656019380573,0.09592683626155349,1.0
